"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"activityFeed/clan_duel_reward";"{player} has earned {gold} Golden Eagles and is in {place} place among other squadron members.";"{player} a gagné {gold} et se positionne en rang {place} parmi les autres membres de l'escadron";"{player} ha guadagnato {gold} Aquile Dorate ed è al {place} posto tra i membri della squadriglia.";"{player} hat {gold} Golden Eagles verdient und ist auf Platz {place} unter den übrigen Mitgliedern der Kampfgruppe";"{player}  ganó {gold} águilas doradas y está en el {place} lugar entre los demás miembros del escuadrón";"{player} заработал {gold} Золотых орлов и занимает {place} место среди своих однополчан";"{player} zdobył {gold}¤ orłów oraz zajmuje {place} miejsce na tle reszty członków dywizjonu";"{player} získal {gold} GE a je na {place} místě mezi ostatními hráči svazu";"{player} {gold} Altın Kartal kazandı ve filonun diğer üyeleri arasında {place}. sırada.";"{player} 获\t得\t了 {gold} 金\t鹰，\t目\t前\t在\t联\t队\t中\t排\t名\t第 {place} 名。";"{player}は{gold}イーグルを\t獲得し{place}分隊\tメンバーに\t分配される。";"{player} ganhou {gold} Golden Eagles e está no {place} lugar entre os membros do esquadrão";"{player} заробив {gold} Золотих орлів та займає {place} місце серед гравців полку";"{player} je zaradio {gold}¤ i na {place} je mestu među ostalim članovima eskadrile";"{player} a századában elért {place}. helyezésért {gold} Arany Sas jutalomban részesültél.";"{player} 이(가) 같은 비행대원 중 {place}위를 기록하여 {gold}¤ 를 획득했습니다!";"{player} зарабіў {gold} Залатых арлоў і займае {place} месца сярод сваіх аднапалчан";"{player} a câștigat {gold} vulturi și este pe locul {loc} a membrilor companiei";"{player} 獲\t得\t了 {gold} 金\t鷹\t幣，\t目\t前\t在\t聯\t隊\t中\t排\t名\t第 {place}";"{player} 获\t得\t了 {gold} 金\t鹰，\t目\t前\t在\t联\t队\t中\t排\t名\t第 {place}";"{player} nhận được {gold} Golden Eagles và đạt vị trí {place} trong số các thành viên khác của quân đoàn.";"don't translate content of {}";
"activityFeed/researched_unit";"{player} has researched the {unitName} of rank {rank} ({country}).";"{player} a recherché {unitName} de {rank} rang ({country}).";"{player} ha ricercato {unitName} di era {rank} ({country}).";"{player} hat {unitName} des Rangs {rank} ({country}) erforscht.";"{player} ha investigado {unitName} de la {rank} era ({country}).";"{player} изучил {unitName}, {rank} ранга ({country}).";"{player} odkrył {unitName} z {rank} ery ({country}).";"{player} vyzkoumal {unitName} {rank}. úrovně ({country})";"{player} seviye {rank} {unitName}({country}) araştırmasını tamamladı.";"{player} 已\t成\t功\t研\t发\t出 {country} 的 {rank} 级\t载\t具 {unitName}。";"{player}は\tランク{rank}の{unitName}({country})を\t開発しました。";"{player} pesquisou {unitName} do nível {rank} ({country}).";"{player} дослідив {unitName} {rank} рангу ({country}).";"{player} je otkučao {unitName} {rank} era ({country}).";"{player} kifejlesztette a(z) {unitName} {rank}. rangú járművet ({country}).";"{player} 이(가) {country} {rank}랭크 {unitName}을(를) 연구완료했습니다.";"{player} даследаваў {unitName} {rank} рангу ({country}).";"{player} a cercetat {unitName} de rang {rank} ({country}).";"{player} 已\t成\t功\t研\t發\t出\t{country} 的 {rank} 階\t載\t具 {unitName}。";"{player} 已\t成\t功\t研\t发\t出\t{country}\t的 {rank} 级\t载\t具 {unitName}。";"{player} đã nghiên cứu {unitName} cấp độ {rank} quốc gia ({country}).";"don't translate content of {}";
"activityFeed/researched_unit/condensed";"{player} has researched {count} vehicles.";"{player} a recherché {count} véhicules.";"{player} ha ricercato {count} unità.";"{player} hat {count} Fahrzeuge erforscht.";"{player} ha investigado {count} unidades de vehículos.";"{player} изучил {count} единиц техники.";"{player} odkrył {count} jednostek(-ki).";"{player} vyzkoumal {count} strojů";"{player} {count} tane araç araştırdı.";"{player} 已\t总\t共\t研\t发\t出 {count} 台\t载\t具。";"{player}は{count}機/台の\t機体を\t開発しました。";"{player} pesquisou {count} veículos.";"{player} дослідив {count} одиниць техніки.";"{player} je otključao {count} jedinica vozila.";"{player} kifejlesztett {count} járművet.";"{player} 이(가) {count}대의 장비를 연구완료했습니다.";"{player} даследаваў {count} адзінак тэхнікі.";"{player} a cercetat {count} unități de vehicule.";"{player} 總\t計\t研\t發\t了 {count} 台\t載\t具";"{player} 已\t总\t共\t研\t发\t出 {count} 台\t载\t具。";"{player} đã nghiên cứu {count} phương tiện.";"don't translate content of {}";
"country_britain";"United Kingdom of Great Britain and Northern Ireland";"Grande-Bretagne";"Gran Bretagna";"Großbritannien";"Gran Bretaña";"Британия";"Wielka Brytania";"Velká Británie";"Britanya";"英\t国";"イギリス";"Grã-Bretanha";"Британія";"Velika Britanija";"Nagy-Britannia";"영국";"В. Брытанія";"Marea Britanie";"英\t國";"E\t系";"Anh Quốc";;
"country_britain/short";"UK";"GB";"GB";"GB";"GB";"GB";"GB";"GB";"GB";"英";"イギリス";"GB";"GB";"GB";"GB";"영";"GB";"MB";"英";"E\t系";"GB";;
"country_china";"People's Republic of China <color=#cbcbcb>/</color> Zhōnghuá Rénmín Gònghéguó";"Chine";"Cina";"China";"China";"Китай";"Chiny";"Čína";"Çin";"中\t国";"中国";"China";"Китай";"Kina";"Kína";"중국";"Кітай";"China";"中\t國";"C\t系";"Trung Quốc";;
"country_china/short";"China";"CN";"CN";"CN";"CN";"CN";"CN";"CN";"CN";"中";"中国";"CN";"CN";"CN";"CN";"중";"CN";"CN";"中";"C\t系";"CN";;
"country_germany_weimar_republic";"German Reich <color=#cbcbcb>/</color> Deutsches Reich";"République de Weimar";"Repubblica di Weimar";"Weimarer Republik";"República de Weimar";"Веймарская республика";"Republika Weimarska";"Výmarská republika";"Weimar Cumhuriyeti";"魏\t玛\t共\t和\t国";"ヴァイマル\t共和政";"República de Weimar";"Веймарська республіка";"Weimar Republic";"Weimar Republic";"이마르 공화국";"Веймарская Рэспубліка";"Weimar Republic";"威\t瑪\t共\t和\t國";"Weimar Republic";"Cộng hòa Weimar";;
"country_germany";"Greater German Reich <color=#cbcbcb>/</color> Großdeutsches Reich";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Niemcy";"Německo";"Almanya";"德\t国";"ドイツ";"Alemanha";"Німеччина";"Nemačka";"Németország";"독일";"Нямеччына";"Germania";"德\t國";"D\t系";"Đức";;
"country_germany_empire_navy";"German Empire <color=#cbcbcb>/</color> Deutsches Reich";"Empire allemand";"Impero Tedesco";"Deutsches Kaiserreich";"Imperio Alemán";"Германская империя";"Cesarstwo Niemieckie";"Německé impérium";"Alman İmparatorluğu";"德\t意\t志\t帝\t国";"ドイツ\t帝国";"Império Alemão";"Німецька імперія";"German Empire";"Német Birodalom";"독일 제국";"Нямецкая імперыя ";"German Empire";"德\t意\t志\t帝\t國";"German Empire";"Đế chế Đức";;
"country_germany_modern";"Federal Republic of Germany <color=#cbcbcb>/</color> Bundesrepublik Deutschland";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Niemcy";"Německo";"Almanya";"德\t国";"ドイツ";"Alemanha";"Німеччина";"Germany";"Németország";"독일";"Нямеччына";"Germany";"德\t國";"D 系";"Đức";;
"country_germany/short";"Germany";"DE";"GER";"DE";"DE";"DE";"DE";"DE";"DE";"德";"ドイツ";"AL";"DE";"DE";"DE";"독";"DE";"GE";"德";"D\t系";"DE";;
"country_japan";"Empire of Japan <color=#cbcbcb>/</color> Dai Nihon Teikoku";"Japon";"Giappone";"Japan";"Japón";"Япония";"Japonia";"Japonsko";"Japonya";"日\t本";"日本";"Japão";"Японія";"Japan";"Japán";"일본";"Японія";"Japonia";"日\t本";"R\t系";"Nhật Bản";;
"country_japan/short";"Japan";"JP";"JP";"JP";"JP";"JP";"JP";"JP";"JP";"日";"日本";"JP";"JP";"JP";"JP";"일";"JP";"JP";"日";"R\t系";"JP";;
"country_usa";"United States of America";"USA";"USA";"USA";"EE.UU";"США";"USA";"USA";"ABD";"美\t国";"アメリカ";"EUA";"США";"SAD";"USA";"미국";"ЗША";"SUA";"美\t國";"A\t系";"Hoa Kỳ";;
"country_usa_modern";"United States of America";"USA";"USA";"USA";"EE.UU";"США";"Stany Zjednoczone";"USA";"ABD";"美\t国";"アメリカ";"EUA";"США";"USA";"USA";"미국";"ЗША";"USA";"美\t國";"A\t系";"Hoa Kỳ";;
"country_usa/short";"USA";"US";"US";"US";"US";"US";"US";"US";"US";"美";"アメリカ";"EUA";"US";"US";"US";"미";"US";"SU";"美";"A\t系";"US";;
"country_ussr";"United Soviet Socialist Republics <color=#cbcbcb>/</color> Soyuz Sovyetskikh Sotsialisticheskikh Respublik";"URSS";"URSS";"Sowjetunion";"URSS";"СССР";"ZSRR";"SSSR";"SSCB";"苏\t联";"ソビエト\t連邦";"URSS";"СРСР";"SSSR";"Szovjetunió";"소련";"СССР";"URSS";"蘇\t聯";"S\t系";"Liên Xô";;
"country_russia";"Russian Federation <color=#cbcbcb>/</color> Rossiyskaya Federatsiya";"Russie";"Russia";"Russland";"Rusia";"Россия";"Rosja";"Rusko";"Rusya";"俄\t罗\t斯";"ロシア";"Rússia";"РФ";"Russia";"Oroszország";"러시아";"Расея";"Russia";"俄\t羅\t斯";"S 系";"Nga";;
"country_russia_empire_navy";"Russian Empire <color=#cbcbcb>/</color> Rossiyskaya Imperiya";"Empire russe";"Impero Russo";"Russisches Kaiserreich";"Imperio Ruso";"Российская империя";"Imperium Rosyjskie";"Ruské impérium";"Rus İmparatorluğu";"俄\t罗\t斯\t帝\t国";"ロシア\t帝国";"Império Russo";"Російська імперія";"Russian Empire";"Orosz Birodalom";"러시아 제국";"Расійская імперыя";"Russian Empire";"俄\t羅\t斯\t帝\t國";"Russian Empire";"Đế chế Nga";;
"country_ussr/short";"USSR";"SU";"URSS";"SU";"SU";"SU";"SU";"SU";"SU";"苏";"ソ\t連";"RU";"SU";"SU";"SU";"소";"SU";"US";"蘇";"S\t系";"SU";;
"country_sweden";"Kingdom of Sweden <color=#cbcbcb>/</color> Konungariket Sverige";"Suède";"Svezia";"Schweden";"Suecia";"Швеция";"Szwecja";"Švédsko";"İsveç";"瑞\t典";"スウェーデン";"Suécia";"Швеція";"Švedska";"Svédország";"스웨덴";"Швецыя";"Sweden";"瑞\t典";"SW\t系";"Thụy Điển";;
"country_sweden/short";"Sweden";"SE";"SE";"SE";"SE";"SE";"SE";"SE";"SE";"瑞";"スウェーデン";"SE";"SE";"SE";"SE";"스";"SE";"SE";"瑞";"T\t系";"SE";;
"shop/unitCountry/operator";"Operator country<color=#ffffff>";"Pays opérateur";"Nazione dell'operatore";"Einsatzland";"País operador";"Страна оператор";"Użytkownik";"Země provozovatele";"Kullanan ülke";"服\t役\t国";"運用国家";"País de operação";"Країна оператор";"Operator country";"Üzemeltető ország";"운용국";"Краіна аператар";"Operator country";"服\t役\t國";"载\t具\t所\t属\t阵\t营";"Quốc gia sử dụng";;
"shop/unitCountry/research";"</color>Research country<color=#ffffff>";"Pays de recherche";"Nazione in ricerca";"Herkunftsland";"País de investigación";"Страна исследования";"Drzewko technologiczne";"Výzkum země";"Araştırma ülkesi";"研\t发\t科\t技\t树";"研究国家";"País de pesquisa";"Країна дослідження";"Research country";"Fejlesztés szerinti ország";"연구 국가";"Краіна даследавання";"Research country";"研\t發\t國";"研\t究";"Quốc gia nghiên cứu";;
"country_australia";"Commonwealth of Australia";"Australie";"Australia";"Australien";"Australia";"Австралия";"Australia";"Austrálie";"Avustralya";"澳\t大\t利\t亚";"オーストラリア";"Austrália";"Австралія";"Australija";"Ausztrália";"호주";"Аўстралія";"Australia";"澳\t大\t利\t亞";"澳";"Úc";;
"country_austria";"Republic of Austria <color=#cbcbcb>/</color> Republik Österreich";"Autriche";"Austria";"Österreich";"Austria";"Австрия";"Austria";"Rakousko";"Avusturya";"奥\t地\t利";"オーストリア";"Áustria";"Австрія";"Austria";"Ausztria";"오스트리아";"Аўстрыя";"Austria";"奧\t地\t利";"Austria";"Áo";;
"country_italy_kingdom";"Kingdom of Italy <color=#cbcbcb>/</color> Regno d'Italia";"Royaume d'Italie";"Regno d'Italia";"Königreich Italien";"Reino de Italia";"Королевство Италия";"Królestwo Włoch";"Království Itálie";"İtalya Kralllığı";"意\t大\t利\t王\t国";"イタリア\t王国";"Reino da Itália";"Королівство Італія";"Kingdom of Italy";"Olasz Királyság";"이탈리아 왕국";"Каралеўства Італія";"Kingdom of Italy";"義\t大\t利\t王\t國";"Kingdom of Italy";"Vương quốc Ý";;
"country_italy";"Italian Republic <color=#cbcbcb>/</color> Repubblica Italiana";"Italie";"Italia";"Italien";"Italia";"Италия";"Włochy";"Itálie";"İtalya";"意\t大\t利";"イタリア";"Itália";"Італія";"Italija";"Olaszország";"이탈리아";"Італія";"Italia";"義\t大\t利";"I\t系";"Ý";;
"country_italy/short";"Italy";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"意";"イタリア";"IT";"IT";"IT";"IT";"이태리";"IT";"IT";"義";"I\t系";"IT";;
"country_belgium";"Kingdom of Belgium <color=#cbcbcb>/</color> Koninkrijk België";"Belgique";"Belgio";"Belgien";"Bélgica";"Бельгия";"Belgia";"Belgie";"Belçika";"比\t利\t时";"ベルギー";"Bélgica";"Бельгія";"Belgija";"Belgium";"벨기에";"Бельгія";"Belgia";"比\t利\t時";"比\t利\t时";"Bỉ";;
"country_bulgaria";"Republic of Bulgaria <color=#cbcbcb>/</color> Republika Bŭlgariya";"Bulgarie";"Bulgaria";"Bulgarien";"Bulgaria";"Болгария";"Bułgaria";"Bulharsko";"Bulgaristan";"保\t加\t利\t亚";"ブルガリア";"Bulgária";"Болгарія";"Bugarska";"Bulgária";"불가리아";"Балгарыя";"Bulgaria";"保\t加\t利\t亞";"保";"Bulgaria";;
"country_brazil";"Federative Republic of Brazil <color=#cbcbcb>/</color> República Federativa do Brasil";"Brésil";"Brasile";"Brasilien";"Brasil";"Бразилия";"Brazylia";"Brazílie";"Brezilya";"巴\t西";"ブラジル";"Brasil";"Бразилія";"Brazil";"Brazil";"브라질";"Бразилия";"Brazil";"巴\t西";"Brazil";"Brazil";;
"country_canada";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Kanada";"Kanada";"Kanada";"加\t拿\t大";"カナダ";"Canadá";"Канада";"Kanada";"Kanada";"캐나다";"Канада";"Canada";"加\t拿\t大";"加\t拿\t大";"Canada";;
