<ID|readonly|noverify>;<English>

modification/q_5b_type130;130-1型
modification/q_5b_type130/desc;"Loadout unlocked:
• 强5B, K/JQ5, A5C (2003), K/JJ7 (all), K/JJH7 (all):
  • <color=@userlogColoredText>HF-14航空火箭发射器</color> airborne rocket launcher:
    • <color=@userlogColoredText>130毫米1型航空火箭杀伤爆破弹</color> <color=#ff6f00>RKT</color> x4
• K/JJ10A:
  • <color=@userlogColoredText>HF-14航空火箭发射器</color> airborne rocket launcher on <color=@userlogColoredText>GDJ-6</color> pylon:
    • <color=@userlogColoredText>130毫米1型航空火箭杀伤爆破弹</color> <color=#ff6f00>RKT</color> x4"

modification/cn_fire_snake_70a;GR5
modification/cn_fire_snake_70a/desc;"Loadout unlocked:
• <color=@userlogColoredText>火蛇70航空火箭弹集束发射器</color> launcher:
  • <color=@userlogColoredText>GR5航空制导火箭弹</color> <color=#ff6f00>AGM-LG</color> x7"

//MISSILES
modification/j_7_pl5b;K/AKK5B
modification/j_7_pl5b/desc;"Loadout unlocked:
• K/JJ7D, K/JJ7E, K/JJ8 (all):
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5c;K/AKK5C
modification/cn_pl5c/desc;"Loadout unlocked:
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5e2;K/AKK5EII
modification/cn_pl5e2/desc;"Loadout unlocked:
• K/JJ10A:
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• JF-17 Block I:
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher on <color=@userlogColoredText>GDJ-II18A</color> pylon:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>霹发9WA空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl7;K/AKK7
modification/j_7_pl7/desc;"Loadout unlocked:
• <color=@userlogColoredText>霹发7空空导弹发射装置</color> missile launcher:
  • <color=@userlogColoredText>K/AKK7空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl8b;K/AKK8B
modification/cn_pl8b/desc;"Loadout unlocked:
• K/JJ10 (all):
  • <color=@userlogColoredText>霹发95W空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>GDJ-1</color> pylon:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>霹发95W空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>GDJ-6</color> pylon:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJ11B, ␗ 苏30MKK:
  • <color=@userlogColoredText>霹发8KZ空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>霹发10X空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl12;SD10A
modification/cn_pl12/desc;"Loadout unlocked:
• K/JJ8F:
  • <color=@userlogColoredText>霹发11空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-ARH</color>
• K/JJ10 (all):
  • <color=@userlogColoredText>霹发12空空导弹发射装置</color> missile launcher x2 on dual rack:
    • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-ARH</color>
  • <color=@userlogColoredText>霹发12空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>GDJ-6</color> pylon:
    • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJ10C:
  • <color=@userlogColoredText>PFT15W空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>ZL4W</color> pylon x2 on dual rack:
    • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-ARH</color>
• K/JJ11B, ␗ 苏30MKK:
  • <color=@userlogColoredText>霹发10X空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-ARH</color>"

modification/cn_sd10;SD10A
modification/cn_sd10/desc;"Loadout unlocked:
• <color=@userlogColoredText>霹发12空空导弹发射装置</color> missile launcher x2 on dual rack:
  • <color=@userlogColoredText>SD10A空空导弹</color> <color=#ff6f00>AAM-ARH</color>"

modification/cn_ty_90;AKK90
modification/cn_ty_90/desc;"Loadout unlocked:
• <color=@userlogColoredText>霹发90空空导弹发射装置</color> missile launcher x4 on quad rack:
  • <color=@userlogColoredText>AKK90空空导弹</color> <color=#ff6f00>AAM-ARH</color>"

modification/cn_ba_11;蓝箭-11A
modification/cn_ba_11/desc;"Loadout unlocked:
• Pylon:
  • <color=@userlogColoredText>蓝箭-11A型空地导弹</color> <color=#ff6f00>AGM-IR</color> x4"

modification/cn_hj8_e;AFT08E
modification/cn_hj8_e/desc;"Loadout unlocked:
• ␗ SA 342 L, 直9W:
  • Pylon:
    • <color=@userlogColoredText>AFT08E反坦克导弹</color> <color=#ff6f00>AGM-WG</color> x2
• 直9WA:
  • Pylon:
    • <color=@userlogColoredText>AFT08E反坦克导弹</color> <color=#ff6f00>AGM-WG</color> x4"

//SENSORS
modification/cn_yings_3a;鹰隼-IIIA (标配型)
modification/cn_yings_3a/desc;"Loadout unlocked:
• Pylon:
  • <color=@userlogColoredText>鹰隼-IIIA昼夜瞄准吊舱 (标配型)</color> <color=#ff6f00>TGP-LG/EO</color>"
